state,top_specialties
Andhra Pradesh,"familyMedicine, internalMedicine, dentistry"
Assam,"familyMedicine, dentistry, internalMedicine"
Bihar,"familyMedicine, internalMedicine, dentistry"
Chandigarh,"familyMedicine, dentistry, internalMedicine"
Chennai,"familyMedicine, dentistry, internalMedicine"
Chhattisgarh,"familyMedicine, internalMedicine, dentistry"
Delhi,"familyMedicine, dentistry, internalMedicine"
Goa,"familyMedicine, dentistry, internalMedicine"
Gujarat,"familyMedicine, internalMedicine, dentistry"
Haryana,"familyMedicine, internalMedicine, dentistry"
Himachal Pradesh,"familyMedicine, internalMedicine, dentistry"
Jammu And Kashmir,"familyMedicine, internalMedicine, dentistry"
Jharkhand,"familyMedicine, internalMedicine, dentistry"
Karnataka,"familyMedicine, internalMedicine, dentistry"
Kerala,"familyMedicine, internalMedicine, dentistry"
Madhya Pradesh,"familyMedicine, internalMedicine, dentistry"
Maharashtra,"familyMedicine, internalMedicine, dentistry"
Manipur,"familyMedicine, dentistry, internalMedicine"
Mumbai,"familyMedicine, dentistry, internalMedicine"
Odisha,"familyMedicine, internalMedicine, dentistry"
Puducherry,"familyMedicine, internalMedicine, dentistry"
Pune,"familyMedicine, dentistry, internalMedicine"
Punjab,"familyMedicine, internalMedicine, dentistry"
Punjab Region,"familyMedicine, internalMedicine, dentistry"
Rajasthan,"familyMedicine, internalMedicine, dentistry"
Tamil Nadu,"familyMedicine, internalMedicine, dentistry"
Telangana,"familyMedicine, internalMedicine, dentistry"
Tripura,"familyMedicine, dentistry, pathology"
Uttar Pradesh,"familyMedicine, internalMedicine, dentistry"
Uttarakhand,"familyMedicine, dentistry, internalMedicine"
West Bengal,"familyMedicine, internalMedicine, dentistry"
